Day,Time,Condition,Envir,Reading,PID,
T0,7:30:00,Blinds,RH,33.2,RR1,
T0,7:45:00,Blinds,RH,33.1,RR1,
T0,8:00:00,Blinds,RH,33,RR1,
T0,8:15:00,Blinds,RH,33.2,RR1,
T0,8:30:00,Blinds,RH,33.6,RR1,
T0,8:45:00,Blinds,RH,33.8,RR1,
T0,9:00:00,Blinds,RH,34.1,RR1,
T0,9:15:00,Blinds,RH,33.8,RR1,
T0,9:30:00,Blinds,RH,33.2,RR1,
T0,9:45:00,Blinds,RH,32.6,RR1,
T0,10:00:00,Blinds,RH,33.9,RR1,
T0,10:15:00,Blinds,RH,34,RR1,
T0,10:30:00,Blinds,RH,34.5,RR1,
T0,10:45:00,Blinds,RH,35.4,RR1,
T0,11:00:00,Blinds,RH,34.6,RR1,
T0,11:15:00,Blinds,RH,34.4,RR1,
T0,11:30:00,Blinds,RH,33,RR1,
T0,11:45:00,Blinds,RH,33,RR1,
T0,12:00:00,Blinds,RH,33.3,RR1,
T0,12:15:00,Blinds,RH,32.2,RR1,
T0,12:30:00,Blinds,RH,32.8,RR1,
T0,12:45:00,Blinds,RH,33.1,RR1,
T0,13:00:00,Blinds,RH,33,RR1,
T0,13:15:00,Blinds,RH,32.3,RR1,
T0,13:30:00,Blinds,RH,30.8,RR1,
T0,13:45:00,Blinds,RH,29.2,RR1,
T0,14:00:00,Blinds,RH,28.1,RR1,
T0,14:15:00,Blinds,RH,27.5,RR1,
T0,14:30:00,Blinds,RH,27.1,RR1,
T0,14:45:00,Blinds,RH,26.2,RR1,
T0,15:00:00,Blinds,RH,25,RR1,
T0,15:15:00,Blinds,RH,25.6,RR1,
T0,15:30:00,Blinds,RH,26.2,RR1,
T0,15:45:00,Blinds,RH,26,RR1,
T0,16:00:00,Blinds,RH,26.5,RR1,
T0,16:15:00,Blinds,RH,26.3,RR1,
T0,16:30:00,Blinds,RH,25.6,RR1,
T0,16:45:00,Blinds,RH,24.6,RR1,
T0,17:00:00,Blinds,RH,24.9,RR1,
T0,17:15:00,Blinds,RH,24.7,RR1,
T0,17:30:00,Blinds,RH,24.3,RR1,
T0,17:45:00,Blinds,RH,25.1,RR1,
T0,18:00:00,Blinds,RH,25.1,RR1,
T0,18:15:00,Blinds,RH,25.5,RR1,
T0,18:30:00,Blinds,RH,25.6,RR1,
T0,18:45:00,Blinds,RH,25.6,RR1,
T0,19:00:00,Blinds,RH,25.7,RR1,
T0,19:15:00,Blinds,RH,26.6,RR1,
T0,19:30:00,Blinds,RH,27,RR1,
T0,19:45:00,Blinds,RH,27.1,RR1,
T0,20:00:00,Blinds,RH,27.2,RR1,
T0,20:15:00,Blinds,RH,26.5,RR1,
T0,20:30:00,Blinds,RH,26.3,RR1,
T0,20:45:00,Blinds,RH,26.1,RR1,
T0,21:00:00,Blinds,RH,25.5,RR1,
T0,21:15:00,Blinds,RH,24.7,RR1,
T0,21:30:00,Blinds,RH,24.7,RR1,
T0,21:45:00,Blinds,RH,24.6,RR1,
T0,22:00:00,Blinds,RH,24,RR1,
T0,22:15:00,Blinds,RH,24.5,RR1,
T0,22:30:00,Blinds,RH,24.6,RR1,
T0,22:45:00,Blinds,RH,23.6,RR1,
T0,23:00:00,Blinds,RH,24.1,RR1,
T0,23:15:00,Blinds,RH,24.7,RR1,
T0,23:30:00,Blinds,RH,24.9,RR1,
T0,23:45:00,Blinds,RH,25.2,RR1,
T1,0:00:00,Blinds,RH,25.8,RR1,
T1,0:15:00,Blinds,RH,26.4,RR1,
T1,0:30:00,Blinds,RH,25.9,RR1,
T1,0:45:00,Blinds,RH,25.2,RR1,
T1,1:00:00,Blinds,RH,25.1,RR1,
