Day,Time,Condition,Envir,Reading,PID
T0,7:30:00,Blinds,light,83.7,RR1
T0,7:45:00,Blinds,light,122.5,RR1
T0,8:00:00,Blinds,light,663.2,RR1
T0,8:15:00,Blinds,light,990.4,RR1
T0,8:30:00,Blinds,light,1267.9,RR1
T0,8:45:00,Blinds,light,1391.6,RR1
T0,9:00:00,Blinds,light,1589.5,RR1
T0,9:15:00,Blinds,light,1571,RR1
T0,9:30:00,Blinds,light,1577.8,RR1
T0,9:45:00,Blinds,light,1622,RR1
T0,10:00:00,Blinds,light,1596.1,RR1
T0,10:15:00,Blinds,light,1661.1,RR1
T0,10:30:00,Blinds,light,1789,RR1
T0,10:45:00,Blinds,light,1917.8,RR1
T0,11:00:00,Blinds,light,1977.7,RR1
T0,11:15:00,Blinds,light,2349.2,RR1
T0,11:30:00,Blinds,light,2340.6,RR1
T0,11:45:00,Blinds,light,2450.3,RR1
T0,12:00:00,Blinds,light,2942.9,RR1
T0,12:15:00,Blinds,light,2816.8,RR1
T0,12:30:00,Blinds,light,2359.3,RR1
T0,12:45:00,Blinds,light,2349.8,RR1
T0,13:00:00,Blinds,light,2101,RR1
T0,13:15:00,Blinds,light,3398.7,RR1
T0,13:30:00,Blinds,light,4166.5,RR1
T0,13:45:00,Blinds,light,4486.9,RR1
T0,14:00:00,Blinds,light,4090.3,RR1
T0,14:15:00,Blinds,light,2150.6,RR1
T0,14:30:00,Blinds,light,2998.4,RR1
T0,14:45:00,Blinds,light,4109.8,RR1
T0,15:00:00,Blinds,light,4942.1,RR1
T0,15:15:00,Blinds,light,2346.6,RR1
T0,15:30:00,Blinds,light,2141.1,RR1
T0,15:45:00,Blinds,light,2473.9,RR1
T0,16:00:00,Blinds,light,1546.3,RR1
T0,16:15:00,Blinds,light,2122.1,RR1
T0,16:30:00,Blinds,light,3261.8,RR1
T0,16:45:00,Blinds,light,5566,RR1
T0,17:00:00,Blinds,light,1972.2,RR1
T0,17:15:00,Blinds,light,972.6,RR1
T0,17:30:00,Blinds,light,1122.1,RR1
T0,17:45:00,Blinds,light,620.6,RR1
T0,18:00:00,Blinds,light,2143,RR1
T0,18:15:00,Blinds,light,1029.4,RR1
T0,18:30:00,Blinds,light,1180.4,RR1
T0,18:45:00,Blinds,light,1403.5,RR1
T0,19:00:00,Blinds,light,667.9,RR1
T0,19:15:00,Blinds,light,2,RR1
T0,19:30:00,Blinds,light,0,RR1
T0,19:45:00,Blinds,light,1.1,RR1
T0,20:00:00,Blinds,light,1.1,RR1
T0,20:15:00,Blinds,light,0,RR1
T0,20:30:00,Blinds,light,0,RR1
T0,20:45:00,Blinds,light,0,RR1
T0,21:00:00,Blinds,light,0,RR1
T0,21:15:00,Blinds,light,0,RR1
T0,21:30:00,Blinds,light,0,RR1
T0,21:45:00,Blinds,light,0,RR1
T0,22:00:00,Blinds,light,0,RR1
T0,22:15:00,Blinds,light,0,RR1
