Day,Time,Condition,Envir,Reading,PID
T0,7:30:00,Blinds,pm25,0,RR1
T0,7:45:00,Blinds,pm25,0,RR1
T0,8:00:00,Blinds,pm25,0.1,RR1
T0,8:15:00,Blinds,pm25,0.2,RR1
T0,8:30:00,Blinds,pm25,0,RR1
T0,8:45:00,Blinds,pm25,0,RR1
T0,9:00:00,Blinds,pm25,0.1,RR1
T0,9:15:00,Blinds,pm25,0,RR1
T0,9:30:00,Blinds,pm25,0.3,RR1
T0,9:45:00,Blinds,pm25,0.4,RR1
T0,10:00:00,Blinds,pm25,0.1,RR1
T0,10:15:00,Blinds,pm25,0.1,RR1
T0,10:30:00,Blinds,pm25,0,RR1
T0,10:45:00,Blinds,pm25,0,RR1
T0,11:00:00,Blinds,pm25,0,RR1
T0,11:15:00,Blinds,pm25,0,RR1
T0,11:30:00,Blinds,pm25,0,RR1
T0,11:45:00,Blinds,pm25,0,RR1
T0,12:00:00,Blinds,pm25,0,RR1
T0,12:15:00,Blinds,pm25,0,RR1
T0,12:30:00,Blinds,pm25,0.1,RR1
T0,12:45:00,Blinds,pm25,0.1,RR1
T0,13:00:00,Blinds,pm25,0.1,RR1
T0,13:15:00,Blinds,pm25,0.1,RR1
T0,13:30:00,Blinds,pm25,0,RR1
T0,13:45:00,Blinds,pm25,0,RR1
T0,14:00:00,Blinds,pm25,0,RR1
T0,14:15:00,Blinds,pm25,0,RR1
T0,14:30:00,Blinds,pm25,0,RR1
T0,14:45:00,Blinds,pm25,0,RR1
T0,15:00:00,Blinds,pm25,0,RR1
T0,15:15:00,Blinds,pm25,0,RR1
T0,15:30:00,Blinds,pm25,0,RR1
T0,15:45:00,Blinds,pm25,0,RR1
T0,16:00:00,Blinds,pm25,0,RR1
T0,16:15:00,Blinds,pm25,0,RR1
T0,16:30:00,Blinds,pm25,0.5,RR1
T0,16:45:00,Blinds,pm25,0.2,RR1
T0,17:00:00,Blinds,pm25,0,RR1
T0,17:15:00,Blinds,pm25,0.1,RR1
T0,17:30:00,Blinds,pm25,0.1,RR1
T0,17:45:00,Blinds,pm25,0,RR1
T0,18:00:00,Blinds,pm25,0.1,RR1
T0,18:15:00,Blinds,pm25,0,RR1
T0,18:30:00,Blinds,pm25,0,RR1
T0,18:45:00,Blinds,pm25,0,RR1
T0,19:00:00,Blinds,pm25,0.4,RR1
T0,19:15:00,Blinds,pm25,0.1,RR1
T0,19:30:00,Blinds,pm25,0.1,RR1
T0,19:45:00,Blinds,pm25,0.1,RR1
T0,20:00:00,Blinds,pm25,0.1,RR1
T0,20:15:00,Blinds,pm25,0,RR1
T0,20:30:00,Blinds,pm25,0,RR1
T0,20:45:00,Blinds,pm25,0,RR1
T0,21:00:00,Blinds,pm25,0,RR1
T0,21:15:00,Blinds,pm25,0.1,RR1
T0,21:30:00,Blinds,pm25,0,RR1
T0,21:45:00,Blinds,pm25,0,RR1
T0,22:00:00,Blinds,pm25,0,RR1
T0,22:15:00,Blinds,pm25,0,RR1
T0,22:30:00,Blinds,pm25,0,RR1
T0,22:45:00,Blinds,pm25,0,RR1
T0,23:00:00,Blinds,pm25,0,RR1
T0,23:15:00,Blinds,pm25,0,RR1
T0,23:30:00,Blinds,pm25,0,RR1
T0,23:45:00,Blinds,pm25,0,RR1
T1,0:00:00,Blinds,pm25,0,RR1
T1,0:15:00,Blinds,pm25,0.1,RR1
T1,0:30:00,Blinds,pm25,0.1,RR1
T1,0:45:00,Blinds,pm25,0,RR1
T1,1:00:00,Blinds,pm25,0,RR1
T1,1:15:00,Blinds,pm25,0,RR1
T1,1:30:00,Blinds,pm25,0,RR1
T1,1:45:00,Blinds,pm25,0.1,RR1
T1,2:00:00,Blinds,pm25,0.1,RR1
T1,2:15:00,Blinds,pm25,0,RR1
