sample-id	location	Room-Type	Time
R1T0-W	Window	Regular	T0
R1T1-W	Window	Regular	T1
R1T2-W	Window	Regular	T2
R1T3-W	Window	Regular	T3
R2T0-W	Window	Regular	T0
R2T1-W	Window	Regular	T1
R2T2-W	Window	Regular	T2
R2T3-W	Window	Regular	T3
R3T0-W	Window	Regular	T0
R3T1-W	Window	Regular	T1
R3T2-W	Window	Regular	T2
R3T3-W	Window	Regular	T3
R5T0-W	Window	Regular	T0
R5T1-W	Window	Regular	T1
R5T2-W	Window	Regular	T2
R5T3-W	Window	Regular	T3
R6T1-W	Window	Regular	T1
R6T2-W	Window	Regular	T2
R6T3-W	Window	Regular	T3
W6T1-W	Window	View	T1
W6T2-W	Window	View	T2
W6T3-W	Window	View	T3
W1T0-W	Window	View	T0
W1T1-W	Window	View	T1
W1T2-W	Window	View	T2
W1T3-W	Window	View	T3
W3T0-W	Window	View	T0
W3T1-W	Window	View	T1
W3T2-W	Window	View	T2
W3T3-W	Window	View	T3
W4T0-W	Window	View	T0
W4T1-W	Window	View	T1
W4T2-W	Window	View	T2
W4T3-W	Window	View	T3
W5T0-W	Window	View	T0
W5T1-W	Window	View	T1
W5T2-W	Window	View	T2
W5T3-W	Window	View	T3
R1T0-AD	AirDuct	Regular	T0
R1T1-AD	AirDuct	Regular	T1
R1T2-AD	AirDuct	Regular	T2
R1T3-AD	AirDuct	Regular	T3
R2T0-AD	AirDuct	Regular	T0
R2T1-AD	AirDuct	Regular	T1
R2T2-AD	AirDuct	Regular	T2
R2T3-AD	AirDuct	Regular	T3
R3T0-AD	AirDuct	Regular	T0
R3T1-AD	AirDuct	Regular	T1
R3T2-AD	AirDuct	Regular	T2
R3T3-AD	AirDuct	Regular	T3
R4T0-AD	AirDuct	Regular	T0
R4T1-AD	AirDuct	Regular	T1
R5T0-AD	AirDuct	Regular	T0
R5T1-AD	AirDuct	Regular	T1
R5T2-AD	AirDuct	Regular	T2
R5T3-AD	AirDuct	Regular	T3
R6T1-AD	AirDuct	Regular	T1
R6T2-AD	AirDuct	Regular	T2
R6T3-AD	AirDuct	Regular	T3
W1T0-AD	AirDuct	View	T0
W1T1-AD	AirDuct	View	T1
W1T2-AD	AirDuct	View	T2
W1T3-AD	AirDuct	View	T3
W3T0-AD	AirDuct	View	T0
W3T1-AD	AirDuct	View	T1
W3T2-AD	AirDuct	View	T2
W3T3-AD	AirDuct	View	T3
W4T0-AD	AirDuct	View	T0
W4T1-AD	AirDuct	View	T1
W4T2-AD	AirDuct	View	T2
W4T3-AD	AirDuct	View	T3
W5T0-AD	AirDuct	View	T0
W5T1-AD	AirDuct	View	T1
W5T2-AD	AirDuct	View	T2
W5T3-AD	AirDuct	View	T3
W6T1-AD	AirDuct	View	T1
W6T2-AD	AirDuct	View	T2
W6T3-AD	AirDuct	View	T3
R1T1-AF	AirFilter	Regular	T1
R1T3-AF	AirFilter	Regular	T3
R2T1-AF	AirFilter	Regular	T1
R2T3-AF	AirFilter	Regular	T3
R3T1-AF	AirFilter	Regular	T1
R3T3-AF	AirFilter	Regular	T3
R5T1-AF	AirFilter	Regular	T1
R5T3-AF	AirFilter	Regular	T3
R6T1-AF	AirFilter	Regular	T1
R6T3-AF	AirFilter	Regular	T3
W1T1-AF	AirFilter	View	T1
W1T3-AF	AirFilter	View	T3
W3T1-AF	AirFilter	View	T1
W3T3-AF	AirFilter	View	T3
W4T1-AF	AirFilter	View	T1
W4T3-AF	AirFilter	View	T3
W5T1-AF	AirFilter	View	T1
W5T3-AF	AirFilter	View	T3
W6T1-AF	AirFilter	View	T1
W6T3-AF	AirFilter	View	T1
R1T0-OB	Outside-Blind	Regular	T0
R1T1-OB	Outside-Blind	Regular	T1
R1T2-OB	Outside-Blind	Regular	T2
R1T3-OB	Outside-Blind	Regular	T3
R2T0-OB	Outside-Blind	Regular	T0
R2T1-OB	Outside-Blind	Regular	T1
R2T2-OB	Outside-Blind	Regular	T1
R2T3-OB	Outside-Blind	Regular	T3
R3T0-OB	Outside-Blind	Regular	T0
R3T1-OB	Outside-Blind	Regular	T1
R3T2-OB	Outside-Blind	Regular	T2
R3T3-OB	Outside-Blind	Regular	T3
R5T0-OB	Outside-Blind	Regular	T0
R5T1-OB	Outside-Blind	Regular	T1
R5T2-OB	Outside-Blind	Regular	T2
R5T3-OB	Outside-Blind	Regular	T3
R6T1-OB	Outside-Blind	Regular	T1
R6T2-OB	Outside-Blind	Regular	T2
R6T3-OB	Outside-Blind	Regular	T3
R1T1-P	Palm	Regular	T1
R1T3-P	Palm	Regular	T3
R2T1-P	Palm	Regular	T1
R2T3-P	Palm	Regular	T3
R3T1-P	Palm	Regular	T1
R3T3-P	Palm	Regular	T3
R5T1-P	Palm	Regular	T1
R5T3-P	Palm	Regular	T3
R6T1-P	Palm	Regular	T1
R6T3-P	Palm	Regular	T3
W1T1-P	Palm	View	T1
W1T3-P	Palm	View	T3
W3T3-P	Palm	View	T3
W3T1-P	Palm	View	T1
W4T1-P	Palm	View	T1
W4T3-P	Palm	View	T3
W5T1-P	Palm	View	T1
W5T3-P	Palm	View	T3
W6T1-P	Palm	View	T1
W6T3-P	Palm	View	T3
R1T0-IB	Inside-Blind	Regular	T0
R1T1-IB	Inside-Blind	Regular	T1
R1T2-IB	Inside-Blind	Regular	T2
R1T3-IB	Inside-Blind	Regular	T3
R2T0-IB	Inside-Blind	Regular	T0
R2T1-IB	Inside-Blind	Regular	T1
R2T2-IB	Inside-Blind	Regular	T2
R2T3-IB	Inside-Blind	Regular	T3
R3T0-IB	Inside-Blind	Regular	T0
R3T1-IB	Inside-Blind	Regular	T1
R3T2-IB	Inside-Blind	Regular	T2
R3T3-IB	Inside-Blind	Regular	T3
R5T0-IB	Inside-Blind	Regular	T0
R5T1-IB	Inside-Blind	Regular	T1
R5T2-IB	Inside-Blind	Regular	T2
R5T3-IB	Inside-Blind	Regular	T3
R6T1-IB	Inside-Blind	Regular	T1
R6T2-IB	Inside-Blind	Regular	T2
R6T3-IB	Inside-Blind	Regular	T3
R1T1-SA	Saliva	Regular	T1
R1T3-SA	Saliva	Regular	T3
R2T1-SA	Saliva	Regular	T1
R2T3-SA	Saliva	Regular	T3
R3T1-SA	Saliva	Regular	T1
R3T3-SA	Saliva	Regular	T3
R5T1-SA	Saliva	Regular	T1
R5T3-SA	Saliva	Regular	T3
R6T1-SA	Saliva	Regular	T1
R6T3-SA	Saliva	Regular	T3
W1T1-SA	Saliva	View	T1
W1T3-SA	Saliva	View	T3
W3T3-SA	Saliva	View	T3
W3T1-SA	Saliva	View	T1
W4T1-SA	Saliva	View	T1
W4T3-SA	Saliva	View	T3
W5T1-SA	Saliva	View	T1
W5T3-SA	Saliva	View	T3
W6T1-SA	Saliva	View	T1
W6T3-SA	Saliva	View	T3
