Sample,Room_Number,Abundance,location,Room_Type,Time,Kingdom,Phlylum,Class,Order,Family,Genus
R1T0_AD,1,0.265085095,AirDuct,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T0_IB,1,0.529014177,Inside-Blind,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T0_OB,1,0.257762686,Outside-Blind,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T0_W,1,0.504211463,Window,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T1_AD,1,0.265733551,AirDuct,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T1_AF,1,0,AirFilter,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T1_IB,1,0.087035358,Inside-Blind,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T1_OB,1,0.053966624,Outside-Blind,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T1_P,1,0.009264115,Palm,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T1_SA,1,0,Saliva,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T1_W,1,0.025346202,Window,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T2_AD,1,0.523330479,AirDuct,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T2_IB,1,0.286586836,Inside-Blind,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T2_OB,1,0.178812269,Outside-Blind,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T2_W,1,0.031087063,Window,Regular,T2,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T3_AD,1,0.49730938,AirDuct,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T3_AF,1,0,AirFilter,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T3_IB,1,0.013516413,Inside-Blind,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T3_OB,1,0.058220773,Outside-Blind,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T3_P,1,0.311429894,Palm,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T3_SA,1,0,Saliva,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R1T3_W,1,0.005337888,Window,Regular,T3,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R2T0_AD,2,0.165281861,AirDuct,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R2T0_IB,2,0.044986083,Inside-Blind,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R2T0_OB,2,0.137638792,Outside-Blind,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R2T0_W,2,0.198537281,Window,Regular,T0,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R2T1_AD,2,0.222294023,AirDuct,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R2T1_AF,2,0.000247831,AirFilter,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R2T1_IB,2,0.037910448,Inside-Blind,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R2T1_OB,2,0.10007026,Outside-Blind,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
R2T1_P,2,0.490728477,Palm,Regular,T1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
